cidade,uf,mes,ano,mes_ano,n_usuarios_internet,velocidade_media_mbps,n_dispositivos_conectados,indice_inovacao,investimento_publico_tecnologia,eventos_tecnologicos_realizados,startups_ativas,patentes_registradas
São Paulo,SP,8,2006,2006m08,50296,72.33,91083,0.345,722526.09,3,167,5
Curitiba,PR,9,2006,2006m09,50224,46.38,77859,0.693,506304.41,3,48,6
São Paulo,SP,10,2006,2006m10,50679,57.97,42679,0.475,891914.2,3,243,6
Salvador,BA,11,2006,2006m11,50141,49.65,45159,0.624,804771.17,1,82,4
Fortaleza,CE,12,2006,2006m12,49896,71.55,43428,0.97,913918.35,1,271,7
Fortaleza,CE,1,2007,2007m01,50255,53.05,73099,0.538,568720.93,1,105,4
Rio de Janeiro,RJ,2,2007,2007m02,49927,67.36,76035,0.663,194506.87,3,151,5
Manaus,AM,3,2007,2007m03,50279,58.12,51718,0.16,251316.1,4,238,5
Manaus,AM,4,2007,2007m04,49318,41.7,90825,0.324,386151.16,2,30,7
Salvador,BA,5,2007,2007m05,49960,50.03,93029,0.811,276303.49,4,126,3
Curitiba,PR,6,2007,2007m06,50120,46.81,93540,0.002,884897.81,2,269,6
São Paulo,SP,7,2007,2007m07,49796,41.4,78951,0.611,560253.41,1,223,3
Salvador,BA,8,2007,2007m08,49926,33.85,76640,0.763,178731.56,4,188,1
Fortaleza,CE,9,2007,2007m09,49885,70.39,21389,0.328,599740.14,3,71,3
Porto Alegre,RS,10,2007,2007m10,50025,19.08,20628,0.296,441755.88,5,202,7
Rio de Janeiro,RJ,11,2007,2007m11,50080,69.97,69272,0.213,759483.22,0,41,8
Recife,PE,12,2007,2007m12,49988,29.94,20872,0.76,141954.7,2,202,4
Porto Alegre,RS,1,2008,2008m01,50031,58.15,23051,0.983,718190.66,0,129,4
Manaus,AM,2,2008,2008m02,49848,41.22,70755,0.704,216396.42,5,32,7
Curitiba,PR,3,2008,2008m03,49526,25.0,49066,0.773,547210.2,2,32,6
Brasília,DF,4,2008,2008m04,49941,67.18,23537,0.316,871739.06,3,217,5
Recife,PE,5,2008,2008m05,50176,14.01,40552,0.707,781280.26,4,269,3
Porto Alegre,RS,6,2008,2008m06,50127,61.94,26450,0.625,386131.35,3,279,6
Fortaleza,CE,7,2008,2008m07,49842,51.95,41348,0.143,931694.85,2,187,4
Brasília,DF,8,2008,2008m08,49848,65.76,49772,0.657,593593.74,1,140,7
Manaus,AM,9,2008,2008m09,50229,59.4,25473,0.934,839067.53,4,105,9
São Paulo,SP,10,2008,2008m10,49864,59.19,86808,0.501,616922.94,3,177,8
Recife,PE,11,2008,2008m11,50224,63.47,24098,0.873,876592.42,5,261,2
Brasília,DF,12,2008,2008m12,50103,62.56,30265,0.899,798524.46,1,224,3
São Paulo,SP,1,2009,2009m01,50021,56.76,18536,0.08,866595.7,3,88,7
Rio de Janeiro,RJ,2,2009,2009m02,49811,44.98,69891,0.833,796739.36,3,102,3
Recife,PE,3,2009,2009m03,49844,46.56,74289,0.533,406812.4,1,13,3
Brasília,DF,4,2009,2009m04,49584,51.6,86218,0.643,935352.7,1,244,4
Belo Horizonte,MG,5,2009,2009m05,49746,46.01,91430,0.115,707872.77,2,93,5
Fortaleza,CE,6,2009,2009m06,50444,82.79,58677,0.121,152221.54,2,206,11
São Paulo,SP,7,2009,2009m07,49951,48.7,91362,0.72,900274.72,7,297,3
São Paulo,SP,8,2009,2009m08,50020,32.75,76287,0.828,194332.34,4,126,8
Rio de Janeiro,RJ,9,2009,2009m09,50462,48.19,87426,0.982,475139.1,5,210,2
Curitiba,PR,10,2009,2009m10,49894,37.42,70793,0.927,550399.29,3,38,3
Fortaleza,CE,11,2009,2009m11,49654,79.37,46425,0.813,479119.42,1,269,6
Salvador,BA,12,2009,2009m12,50027,51.47,35525,0.971,776137.06,4,192,9
Rio de Janeiro,RJ,1,2010,2010m01,49799,59.52,21788,0.71,146634.91,4,207,2
São Paulo,SP,2,2010,2010m02,49613,57.73,67125,0.994,751814.41,3,175,4
Curitiba,PR,3,2010,2010m03,49807,64.19,33620,0.374,767093.05,4,187,4
Porto Alegre,RS,4,2010,2010m04,50011,53.58,26556,0.053,123377.86,4,293,4
Porto Alegre,RS,5,2010,2010m05,50071,44.02,16095,0.723,228789.76,4,235,12
Porto Alegre,RS,6,2010,2010m06,50086,50.71,50603,0.232,437304.21,0,10,7
Porto Alegre,RS,7,2010,2010m07,49820,31.6,94414,0.372,593833.75,3,163,6
Belo Horizonte,MG,8,2010,2010m08,49925,47.75,68077,0.278,243855.47,2,264,5
Manaus,AM,9,2010,2010m09,49706,76.91,19928,0.007,889829.08,2,35,0
Manaus,AM,10,2010,2010m10,49900,61.03,23450,0.504,903142.11,3,52,8
São Paulo,SP,11,2010,2010m11,50426,48.41,97320,0.081,154397.23,4,224,6
Fortaleza,CE,12,2010,2010m12,50160,80.18,23348,0.222,283912.04,2,139,3
Brasília,DF,1,2011,2011m01,50156,40.86,82081,0.407,601737.67,3,136,4
Porto Alegre,RS,2,2011,2011m02,50188,55.14,37009,0.51,481669.42,4,206,3
Salvador,BA,3,2011,2011m03,49876,45.46,16272,0.748,897719.23,3,162,5
Fortaleza,CE,4,2011,2011m04,49850,46.93,67616,0.21,579709.68,1,76,2
Recife,PE,5,2011,2011m05,50013,55.91,81844,0.487,745614.64,1,60,6
Fortaleza,CE,6,2011,2011m06,50064,58.64,94515,0.679,611106.82,4,299,4
Salvador,BA,7,2011,2011m07,50067,46.96,44972,0.614,863534.82,6,245,3
Belo Horizonte,MG,8,2011,2011m08,50164,37.46,94907,0.16,946566.01,3,264,3
Porto Alegre,RS,9,2011,2011m09,49943,77.48,31715,0.828,143020.0,3,138,5
São Paulo,SP,10,2011,2011m10,50123,51.52,23362,0.019,880337.79,1,182,7
Fortaleza,CE,11,2011,2011m11,50148,34.44,53629,0.438,672135.57,2,284,5
Belo Horizonte,MG,12,2011,2011m12,49812,34.67,89094,0.297,967498.75,4,205,6
Belo Horizonte,MG,1,2012,2012m01,50066,79.87,96575,0.1,790164.53,2,66,10
Rio de Janeiro,RJ,2,2012,2012m02,49883,86.96,16805,0.761,996631.32,5,85,4
Salvador,BA,3,2012,2012m03,50145,55.05,19240,0.868,559089.45,1,230,4
Salvador,BA,4,2012,2012m04,49977,40.79,29536,0.535,745133.26,5,205,2
Manaus,AM,5,2012,2012m05,50268,54.99,49126,0.568,634911.55,1,265,8
Manaus,AM,6,2012,2012m06,49891,45.42,28711,0.558,349233.43,5,53,4
Fortaleza,CE,7,2012,2012m07,50368,58.6,67833,0.355,378681.26,2,77,6
Brasília,DF,8,2012,2012m08,49747,55.25,33938,0.521,396582.62,1,42,8
Belo Horizonte,MG,9,2012,2012m09,49882,49.51,35852,0.553,947923.52,1,73,5
Salvador,BA,10,2012,2012m10,49463,48.73,58868,0.998,661948.79,0,220,9
Fortaleza,CE,11,2012,2012m11,49923,46.7,90140,0.334,929574.64,3,195,4
Belo Horizonte,MG,12,2012,2012m12,50187,64.23,81578,0.784,813660.95,0,131,1
Belo Horizonte,MG,1,2013,2013m01,50170,47.11,51411,0.277,357233.65,2,35,2
Belo Horizonte,MG,2,2013,2013m02,50131,80.83,63459,0.301,290945.99,5,20,4
Rio de Janeiro,RJ,3,2013,2013m03,50033,82.23,14335,0.04,699748.56,2,132,9
Manaus,AM,4,2013,2013m04,49827,44.33,51472,0.146,884988.55,4,57,6
São Paulo,SP,5,2013,2013m05,50282,44.59,86586,0.405,471254.32,3,167,2
Salvador,BA,6,2013,2013m06,50289,49.26,13965,0.809,229045.34,3,129,1
Curitiba,PR,7,2013,2013m07,49617,40.37,56944,0.532,801198.14,3,275,6
Curitiba,PR,8,2013,2013m08,49693,62.77,94074,0.44,107337.73,2,148,5
Porto Alegre,RS,9,2013,2013m09,50272,67.77,71688,0.837,325880.14,2,225,6
Brasília,DF,10,2013,2013m10,49754,69.25,14625,0.747,638960.36,4,270,4
São Paulo,SP,11,2013,2013m11,50140,46.88,18463,0.415,637685.8,4,189,4
Porto Alegre,RS,12,2013,2013m12,49453,46.69,51761,0.989,192378.22,3,210,4
Brasília,DF,1,2014,2014m01,49916,20.13,67131,0.797,979159.25,2,279,3
Porto Alegre,RS,2,2014,2014m02,49921,40.15,85724,0.41,763206.81,3,201,3
Brasília,DF,3,2014,2014m03,50011,36.02,29328,0.813,750855.78,1,192,4
Fortaleza,CE,4,2014,2014m04,49846,33.39,24908,0.565,453758.0,3,120,9
Porto Alegre,RS,5,2014,2014m05,49800,42.7,79554,0.059,467838.18,0,239,4
Recife,PE,6,2014,2014m06,49830,45.39,27317,0.72,317888.36,1,146,6
Porto Alegre,RS,7,2014,2014m07,50055,49.63,29940,0.398,953999.25,3,223,5
Salvador,BA,8,2014,2014m08,49842,70.39,42943,0.725,554020.48,2,213,4
Salvador,BA,9,2014,2014m09,50063,67.48,84360,0.471,145675.63,5,92,4
Manaus,AM,10,2014,2014m10,49770,33.13,45346,0.286,227396.64,5,228,7
Curitiba,PR,11,2014,2014m11,49486,56.42,30918,0.295,216752.41,0,269,2
Manaus,AM,12,2014,2014m12,49805,38.0,98536,0.176,592777.28,3,69,7
Fortaleza,CE,1,2015,2015m01,49767,52.22,27108,0.892,459375.31,7,159,3
Salvador,BA,2,2015,2015m02,49753,69.66,28021,0.953,502035.11,4,189,4
Belo Horizonte,MG,3,2015,2015m03,49945,42.71,36514,0.701,728571.92,1,25,4
Rio de Janeiro,RJ,4,2015,2015m04,50237,35.19,42743,0.076,856780.49,3,32,7
Curitiba,PR,5,2015,2015m05,49852,50.77,16174,0.488,895105.07,2,93,7
Recife,PE,6,2015,2015m06,49911,69.8,99954,0.075,820386.51,3,127,5
Curitiba,PR,7,2015,2015m07,50127,80.08,56178,0.312,702097.54,3,148,5
Salvador,BA,8,2015,2015m08,50257,40.76,75227,0.038,797990.96,3,256,5
São Paulo,SP,9,2015,2015m09,49763,51.97,40834,0.995,823106.5,3,266,8
Brasília,DF,10,2015,2015m10,49772,54.13,11245,0.428,707393.29,7,235,4
Rio de Janeiro,RJ,11,2015,2015m11,49893,28.68,50763,0.275,699471.04,4,246,4
Belo Horizonte,MG,12,2015,2015m12,49766,27.86,16066,0.081,955893.58,5,21,8
Porto Alegre,RS,1,2016,2016m01,49858,54.87,85345,0.144,402278.51,5,168,5
Salvador,BA,2,2016,2016m02,50142,,49928,0.229,493464.18,2,26,6
Salvador,BA,3,2016,2016m03,50177,28.98,46588,0.444,746158.44,1,114,4
Curitiba,PR,4,2016,2016m04,49910,60.3,69358,0.138,283046.29,3,204,2
Rio de Janeiro,RJ,5,2016,2016m05,50135,50.92,88765,0.094,664367.0,1,260,1
Belo Horizonte,MG,6,2016,2016m06,50287,50.17,75134,0.678,994144.16,0,164,4
Manaus,AM,7,2016,2016m07,50061,33.57,55393,0.593,960590.25,3,120,3
São Paulo,SP,8,2016,2016m08,50003,24.4,12319,0.183,344251.19,1,205,8
São Paulo,SP,9,2016,2016m09,49892,41.03,50171,0.509,330526.57,1,189,4
Curitiba,PR,10,2016,2016m10,49864,50.73,97921,0.237,199668.71,1,153,4
Fortaleza,CE,11,2016,2016m11,49938,39.37,18334,0.085,384870.45,1,154,5
Belo Horizonte,MG,12,2016,2016m12,49758,33.54,23648,0.717,615308.17,3,242,4
Belo Horizonte,MG,1,2017,2017m01,49933,,45826,0.526,995396.9,2,205,3
Rio de Janeiro,RJ,2,2017,2017m02,50308,50.53,45960,0.604,420869.54,1,107,4
Rio de Janeiro,RJ,3,2017,2017m03,49934,71.22,45447,0.151,981815.5,2,48,4
Brasília,DF,4,2017,2017m04,49742,52.25,31963,0.751,853666.68,4,173,2
Curitiba,PR,5,2017,2017m05,49940,27.99,69466,0.769,791667.7,2,52,7
Belo Horizonte,MG,6,2017,2017m06,50173,19.67,51673,0.499,776781.74,4,258,4
Brasília,DF,7,2017,2017m07,50092,13.2,74604,0.867,309477.9,4,56,8
Brasília,DF,8,2017,2017m08,50059,55.1,22959,0.992,170638.36,2,271,1
Belo Horizonte,MG,9,2017,2017m09,49954,34.22,58495,0.438,935340.19,1,220,8
Fortaleza,CE,10,2017,2017m10,49876,57.47,87585,0.695,443117.76,3,94,4
Porto Alegre,RS,11,2017,2017m11,50132,67.7,23780,0.021,402658.93,3,229,0
Recife,PE,12,2017,2017m12,49294,,32121,0.069,202478.98,2,83,5
Recife,PE,1,2018,2018m01,50044,46.59,17501,0.502,443372.52,4,143,4
Curitiba,PR,2,2018,2018m02,49451,77.73,53867,0.172,831790.03,3,251,3
Manaus,AM,3,2018,2018m03,50265,43.09,95551,0.023,626845.2,3,21,6
Salvador,BA,4,2018,2018m04,49850,36.45,84812,0.063,974903.8,3,73,5
Recife,PE,5,2018,2018m05,49619,55.0,47756,0.105,916190.44,3,91,2
Salvador,BA,6,2018,2018m06,50005,61.6,52926,0.929,395567.71,4,88,4
Salvador,BA,7,2018,2018m07,49439,11.22,31711,0.676,864372.04,3,23,7
Recife,PE,8,2018,2018m08,50158,66.66,83784,0.789,819675.54,3,273,3
Salvador,BA,9,2018,2018m09,50126,25.63,72712,0.17,215226.27,4,189,4
Belo Horizonte,MG,10,2018,2018m10,49908,19.22,60508,0.326,149539.81,1,168,4
Belo Horizonte,MG,11,2018,2018m11,49780,44.84,43444,0.113,521863.14,2,97,4
Manaus,AM,12,2018,2018m12,50031,34.06,82529,0.868,564404.64,5,198,3
Porto Alegre,RS,1,2019,2019m01,49935,56.24,17163,0.446,953786.67,1,95,5
Belo Horizonte,MG,2,2019,2019m02,50101,55.34,48553,0.885,704979.45,5,46,7
Salvador,BA,3,2019,2019m03,50042,54.63,75692,0.646,435342.6,3,275,4
Belo Horizonte,MG,4,2019,2019m04,50193,68.36,68899,0.915,459153.96,5,99,6
Salvador,BA,5,2019,2019m05,50008,45.27,40756,0.703,557174.32,3,145,5
Rio de Janeiro,RJ,6,2019,2019m06,50211,55.51,49947,0.546,546547.84,3,249,6
Fortaleza,CE,7,2019,2019m07,50030,,62839,0.01,947832.13,2,223,3
Rio de Janeiro,RJ,8,2019,2019m08,50241,64.41,46881,0.317,300211.0,6,143,7
Recife,PE,9,2019,2019m09,50187,42.48,53201,0.624,507696.09,3,149,6
Salvador,BA,10,2019,2019m10,49935,45.74,32344,0.996,499416.65,2,85,4
Brasília,DF,11,2019,2019m11,49703,44.86,68397,0.516,832188.41,0,218,6
Salvador,BA,12,2019,2019m12,49634,48.51,26523,0.661,514618.88,2,84,3
Manaus,AM,1,2020,2020m01,50171,44.46,35796,0.934,469573.58,2,135,6
Rio de Janeiro,RJ,2,2020,2020m02,49792,,65734,0.116,933214.88,4,59,4
Brasília,DF,3,2020,2020m03,49730,68.6,85514,0.534,783983.68,6,198,5
Rio de Janeiro,RJ,4,2020,2020m04,50232,40.24,59008,0.787,779350.77,2,157,6
São Paulo,SP,5,2020,2020m05,49668,44.39,94417,0.382,256565.54,5,297,8
Salvador,BA,6,2020,2020m06,50142,47.1,21877,0.588,528339.88,2,167,3
São Paulo,SP,7,2020,2020m07,50172,57.87,63511,0.706,235683.82,2,28,7
Recife,PE,8,2020,2020m08,49671,42.61,31936,0.765,194808.23,3,259,3
São Paulo,SP,9,2020,2020m09,49672,,41749,0.264,611660.79,6,33,6
Salvador,BA,10,2020,2020m10,49874,78.12,53594,0.204,736097.18,2,27,6
Porto Alegre,RS,11,2020,2020m11,49889,74.54,85194,0.921,706955.82,2,287,7
Manaus,AM,12,2020,2020m12,49760,53.8,61550,0.023,969723.66,1,206,8
Rio de Janeiro,RJ,1,2021,2021m01,50274,41.35,53196,0.804,693364.0,5,155,3
Porto Alegre,RS,2,2021,2021m02,49673,40.95,74623,0.222,716471.83,2,83,4
Brasília,DF,3,2021,2021m03,50232,44.45,52656,0.763,866137.02,4,241,7
Brasília,DF,4,2021,2021m04,50250,37.24,27982,0.536,920847.91,2,133,3
Porto Alegre,RS,5,2021,2021m05,49789,56.24,78374,0.5,524697.18,5,15,2
Porto Alegre,RS,6,2021,2021m06,49668,46.6,39486,0.345,522095.56,2,20,5
Brasília,DF,7,2021,2021m07,50136,49.76,79844,0.924,765238.34,3,101,6
Curitiba,PR,8,2021,2021m08,49790,45.38,61010,0.181,828500.34,3,121,7
Salvador,BA,9,2021,2021m09,49789,56.77,84250,0.054,461345.75,3,263,3
Curitiba,PR,10,2021,2021m10,50249,53.84,95853,0.553,289675.3,4,135,3
Salvador,BA,11,2021,2021m11,50329,44.7,26344,0.104,395102.06,4,263,3
Belo Horizonte,MG,12,2021,2021m12,50040,47.78,74987,0.577,900127.75,4,119,6
Porto Alegre,RS,1,2022,2022m01,49822,47.76,53948,0.521,504038.2,2,108,11
Brasília,DF,2,2022,2022m02,50191,60.06,45280,0.67,568807.92,2,70,4
Recife,PE,3,2022,2022m03,50153,38.33,74214,0.867,769345.54,1,69,2
Porto Alegre,RS,4,2022,2022m04,50048,43.02,62285,0.357,111011.57,5,30,6
Rio de Janeiro,RJ,5,2022,2022m05,49771,21.5,52083,0.591,851012.1,0,91,7
Brasília,DF,6,2022,2022m06,50304,33.87,36540,0.504,848066.93,3,270,2
Rio de Janeiro,RJ,7,2022,2022m07,50299,46.46,79360,0.178,869822.89,8,11,9
Salvador,BA,8,2022,2022m08,50208,43.45,69069,0.388,795308.79,6,163,3
Manaus,AM,9,2022,2022m09,50259,20.56,19638,0.513,174042.15,5,193,4
Porto Alegre,RS,10,2022,2022m10,49805,57.88,60049,0.082,819663.43,3,108,8
Manaus,AM,11,2022,2022m11,49763,36.79,84954,0.21,744704.46,2,132,8
Brasília,DF,12,2022,2022m12,49992,,64915,0.452,845454.19,1,270,6
Curitiba,PR,1,2023,2023m01,50058,55.47,54548,0.629,194807.82,2,154,7
Porto Alegre,RS,2,2023,2023m02,50443,62.51,70801,0.622,598123.45,1,185,5
Porto Alegre,RS,3,2023,2023m03,49750,13.44,10674,0.235,654260.53,3,274,4
Manaus,AM,4,2023,2023m04,50075,60.24,20363,0.956,398456.34,1,218,6
Curitiba,PR,5,2023,2023m05,50200,46.76,37682,0.269,959463.69,6,62,4
São Paulo,SP,6,2023,2023m06,49746,46.16,86597,0.465,930440.73,1,137,4
Salvador,BA,7,2023,2023m07,50036,33.2,84024,0.538,179672.89,5,297,6
Curitiba,PR,8,2023,2023m08,49674,47.67,76656,0.357,494895.83,3,66,3
Brasília,DF,9,2023,2023m09,49963,48.63,76764,0.546,512028.39,4,82,2
Recife,PE,10,2023,2023m10,50035,83.8,15656,0.378,217129.17,3,264,4
Recife,PE,11,2023,2023m11,49900,57.83,48139,0.511,978233.05,4,162,10
São Paulo,SP,12,2023,2023m12,49853,49.96,37796,0.591,679480.76,1,81,2
Curitiba,PR,1,2024,2024m01,50103,67.73,46325,0.115,505010.23,4,286,2
Curitiba,PR,2,2024,2024m02,49958,63.28,82280,0.71,201367.54,0,206,4
Rio de Janeiro,RJ,3,2024,2024m03,50500,28.19,22081,0.744,640710.3,3,111,6
Recife,PE,4,2024,2024m04,49862,59.92,18255,0.082,193103.95,2,247,4
Curitiba,PR,5,2024,2024m05,50060,51.47,46468,0.047,700228.97,6,169,2
Fortaleza,CE,6,2024,2024m06,49652,39.49,27547,0.75,597333.86,1,59,7
Rio de Janeiro,RJ,7,2024,2024m07,49890,34.49,33115,0.952,566776.61,5,218,3
Rio de Janeiro,RJ,8,2024,2024m08,50155,47.8,18350,0.387,268562.13,2,66,2
Curitiba,PR,9,2024,2024m09,50154,49.84,98706,0.895,206528.27,2,190,4
Curitiba,PR,10,2024,2024m10,49860,67.23,51761,0.854,872437.61,1,163,8
Recife,PE,11,2024,2024m11,49718,16.22,22506,0.202,988136.25,4,221,2
Manaus,AM,12,2024,2024m12,49543,31.12,45886,0.595,921461.22,3,109,7
Belo Horizonte,MG,1,2000,2000m01,50062,52.94,15524,0.017,481778.1,2,50,7
Fortaleza,CE,2,2000,2000m02,50110,47.92,39716,0.882,482179.82,4,189,1
São Paulo,SP,3,2000,2000m03,49875,51.66,40492,0.521,213325.73,1,68,5
Recife,PE,4,2000,2000m04,50351,43.12,51422,0.959,424742.46,3,188,8
Brasília,DF,5,2000,2000m05,49673,53.73,17197,0.347,187244.94,2,33,3
Recife,PE,6,2000,2000m06,50072,26.16,42964,0.023,977214.35,1,20,3
Recife,PE,7,2000,2000m07,50067,81.46,68547,0.287,262920.96,2,49,4
Belo Horizonte,MG,8,2000,2000m08,50228,56.26,32125,0.335,443954.84,2,109,6
Recife,PE,9,2000,2000m09,50670,56.86,26229,0.492,721719.16,7,146,3
Rio de Janeiro,RJ,10,2000,2000m10,50031,34.01,61457,0.155,469849.25,2,162,1
Salvador,BA,11,2000,2000m11,49783,41.17,78153,0.677,825580.94,2,261,3
Belo Horizonte,MG,12,2000,2000m12,50095,57.67,39825,0.075,112274.31,3,263,9
Brasília,DF,1,2001,2001m01,49879,44.75,17897,0.232,905714.23,2,295,5
Recife,PE,2,2001,2001m02,50177,54.02,46512,0.005,304041.96,3,251,5
Brasília,DF,3,2001,2001m03,50080,38.31,95102,0.54,211740.83,4,230,4
Curitiba,PR,4,2001,2001m04,50105,29.93,63826,0.215,593270.98,2,120,5
São Paulo,SP,5,2001,2001m05,50266,66.66,98285,0.6,739532.55,3,222,5
Porto Alegre,RS,6,2001,2001m06,50357,36.55,77066,0.564,671717.15,2,268,4
Recife,PE,7,2001,2001m07,49609,63.65,37027,0.785,346477.11,5,222,2
Fortaleza,CE,8,2001,2001m08,50015,37.42,23735,0.698,797578.95,3,108,4
Belo Horizonte,MG,9,2001,2001m09,50144,47.62,80352,0.048,196606.35,4,65,2
Salvador,BA,10,2001,2001m10,50136,44.19,29573,0.518,749333.18,5,157,9
Rio de Janeiro,RJ,11,2001,2001m11,49639,46.85,35491,0.861,993964.64,3,80,6
Salvador,BA,12,2001,2001m12,49607,61.37,34062,0.066,403410.31,2,46,5
Belo Horizonte,MG,1,2002,2002m01,49977,74.48,22604,0.952,419379.99,5,54,5
Rio de Janeiro,RJ,2,2002,2002m02,50049,,80186,0.992,165655.51,4,11,3
Brasília,DF,3,2002,2002m03,50374,51.82,54738,0.423,708986.09,5,169,6
Porto Alegre,RS,4,2002,2002m04,49925,45.96,85129,0.315,692777.77,3,175,4
Fortaleza,CE,5,2002,2002m05,50058,51.3,29263,0.845,128422.71,1,21,3
Salvador,BA,6,2002,2002m06,49810,39.23,66578,0.868,657302.14,4,39,5
Curitiba,PR,7,2002,2002m07,49960,34.47,54535,0.824,506854.52,5,240,4
Salvador,BA,8,2002,2002m08,50080,54.87,57757,0.811,646938.85,1,110,2
Curitiba,PR,9,2002,2002m09,49979,53.35,90763,0.681,690003.13,3,217,6
Brasília,DF,10,2002,2002m10,50024,67.04,31623,0.034,716863.02,0,28,5
Recife,PE,11,2002,2002m11,49459,50.74,90544,0.577,841298.38,3,208,3
São Paulo,SP,12,2002,2002m12,49889,49.29,24880,0.279,266187.69,1,259,2
Rio de Janeiro,RJ,1,2003,2003m01,49959,57.76,58211,0.596,220575.76,4,269,4
Recife,PE,2,2003,2003m02,50018,64.77,51821,0.302,658346.6,2,13,9
Manaus,AM,3,2003,2003m03,50050,47.62,92841,0.289,974771.97,4,97,12
Rio de Janeiro,RJ,4,2003,2003m04,49897,11.37,84479,0.259,592375.53,2,173,6
Salvador,BA,5,2003,2003m05,50274,34.25,32835,0.376,250267.47,2,144,3
Fortaleza,CE,6,2003,2003m06,49902,66.05,59574,0.37,579483.71,2,35,5
Brasília,DF,7,2003,2003m07,50076,75.58,62937,0.864,196899.76,3,37,4
Curitiba,PR,8,2003,2003m08,50152,70.0,36213,0.405,952250.55,1,126,0
Porto Alegre,RS,9,2003,2003m09,49781,43.42,26667,0.364,236104.78,4,136,6
Porto Alegre,RS,10,2003,2003m10,49945,45.07,32440,0.254,142175.43,4,57,9
Fortaleza,CE,11,2003,2003m11,50109,61.1,18743,0.547,481066.77,8,146,5
Brasília,DF,12,2003,2003m12,49705,59.0,99603,0.359,414149.72,4,13,4
Rio de Janeiro,RJ,1,2004,2004m01,50039,,13726,0.978,178311.28,4,172,8
Brasília,DF,2,2004,2004m02,49935,50.65,52644,0.471,788434.99,6,197,6
Brasília,DF,3,2004,2004m03,50043,49.19,37186,0.004,797891.36,1,110,7
Fortaleza,CE,4,2004,2004m04,50253,32.72,36683,0.351,346053.33,2,173,1
Belo Horizonte,MG,5,2004,2004m05,49687,41.04,91133,0.189,587536.88,4,192,8
Manaus,AM,6,2004,2004m06,50041,53.96,56155,0.352,462022.86,2,124,4
Fortaleza,CE,7,2004,2004m07,50157,46.74,69588,0.255,767260.37,2,182,6
Manaus,AM,8,2004,2004m08,49718,63.98,70870,0.221,569637.93,3,166,4
Rio de Janeiro,RJ,9,2004,2004m09,50117,76.41,46297,0.2,888896.89,2,237,5
Porto Alegre,RS,10,2004,2004m10,50097,64.18,64721,0.916,916647.64,2,169,8
Curitiba,PR,11,2004,2004m11,49744,56.71,64026,0.033,163698.21,2,59,6
Curitiba,PR,12,2004,2004m12,49578,47.77,78652,0.785,365997.31,2,105,0
Fortaleza,CE,1,2005,2005m01,49834,61.94,77253,0.121,155449.71,3,135,5
Belo Horizonte,MG,2,2005,2005m02,50075,40.66,45625,0.047,149573.61,5,110,2
Manaus,AM,3,2005,2005m03,50205,41.8,35430,0.345,767513.92,0,232,5
Manaus,AM,4,2005,2005m04,49867,31.53,45203,0.649,406871.42,5,29,5
Manaus,AM,5,2005,2005m05,50181,26.74,38869,0.989,427208.69,1,80,6
Porto Alegre,RS,6,2005,2005m06,49857,69.21,82560,0.262,981906.24,5,257,3
Fortaleza,CE,7,2005,2005m07,49977,54.05,48357,0.259,798609.0,5,180,9
Fortaleza,CE,8,2005,2005m08,49841,57.97,79879,0.149,500247.56,4,208,5
Porto Alegre,RS,9,2005,2005m09,50026,48.1,96117,0.818,172422.77,1,36,6
Salvador,BA,10,2005,2005m10,49945,78.35,60602,0.796,708978.22,2,229,1
São Paulo,SP,11,2005,2005m11,50305,76.38,90099,0.466,473932.21,2,138,9
Manaus,AM,12,2005,2005m12,50457,49.75,35506,0.343,669686.11,2,261,8
Manaus,AM,1,2006,2006m01,49708,49.58,43782,0.221,436819.06,2,267,5
Manaus,AM,2,2006,2006m02,49980,46.7,44743,0.459,895611.36,1,220,5
Manaus,AM,3,2006,2006m03,50204,33.28,67581,0.809,492358.17,3,239,4
São Paulo,SP,4,2006,2006m04,50307,43.86,69283,0.695,915402.29,2,200,5
São Paulo,SP,5,2006,2006m05,49882,45.27,78253,0.495,452635.41,3,15,5
Rio de Janeiro,RJ,6,2006,2006m06,50157,16.74,68496,0.536,730469.38,3,130,3
São Paulo,SP,7,2006,2006m07,49584,15.83,77822,0.571,202325.28,2,88,5
Recife,PE,8,2006,2006m08,49738,49.04,42623,0.762,619395.77,5,157,5
Manaus,AM,9,2006,2006m09,49630,62.49,37058,0.116,383401.24,2,121,2
Recife,PE,10,2006,2006m10,50028,38.45,56909,0.519,720876.42,2,284,4
Salvador,BA,11,2006,2006m11,49829,,64197,0.219,820812.23,4,73,8
Brasília,DF,12,2006,2006m12,50130,45.78,74049,0.907,904403.39,4,296,5
Curitiba,PR,1,2007,2007m01,50300,37.29,33353,0.917,793611.43,6,190,3
Manaus,AM,2,2007,2007m02,50056,28.64,55633,0.195,295120.14,2,233,8
São Paulo,SP,3,2007,2007m03,50171,51.46,14360,0.872,548614.91,4,224,5
Recife,PE,4,2007,2007m04,49829,19.85,74762,0.735,308086.11,2,19,4
Curitiba,PR,5,2007,2007m05,50166,38.75,95927,0.505,106255.87,6,266,3
Salvador,BA,6,2007,2007m06,50144,50.67,98095,0.737,910513.89,6,40,7
Belo Horizonte,MG,7,2007,2007m07,50208,29.04,37396,0.075,912011.24,3,78,1
